team_id;team_name;division;conf;wins
4;milwaukee bucks;centre;E;60
20;detroit pistons;centre;E;41
26;boston celtics;atlantique;E;49
18;indiana pacers;centre;E;48
12;philadelphia 76ers;atlantique;E;51
11;brooklyn nets;atlantique;E;42
21;toronto raptors;atlantique;E;58
15;orlando magic;s-e;E;42
